Protocol,Security,Nodes,DurationSeconds,PayloadBytes,TXPackets,RXPackets,LostPackets,RXBytes,ThroughputKbps,AverageDelayMs,AverageJitterMs,SimulationCpuTimeS,MessagesSent,MessagesReceived,MessagesLost,AverageAppDelayMs,SecurityOverheadBytes,SecurityHandshakeMessages,Seed
COAP,NONE,400,300,256,120800,21231,96602,6561806,174.981,195.145,103.955,803.704,120000,21086,811,193.821,0,0,1
COAP,TLS,100,300,256,30800,21222,9311,7019016,187.174,213.555,113.767,277.906,30000,20943,862,204.308,838000,600,2
AMQP,TLS,200,300,256,45214,43478,1710,9350004,249.333,123.756,83.895,761.152,60000,20447,948,308.411,1676000,1200,3
MQTT,NONE,100,300,256,44000,43212,781,8464753,225.727,113.334,76.505,445.749,30000,21071,485,266.952,0,0,4
COAP,NONE,100,300,256,30200,21108,8822,6523270,173.954,191.663,103.261,270.366,30000,20962,756,190.24,0,0,5
COAP,NONE,200,300,256,60400,21237,37997,6563389,175.024,194.936,103.727,500.301,60000,21091,806,193.746,0,0,6
MQTT,TLS,200,300,256,44977,43209,1752,9124324,243.315,119.815,82.287,745.259,60000,20318,609,282.821,1676000,1200,7
COAP,TLS,400,300,256,123200,21184,99050,7006544,186.841,213.048,112.632,819.317,120000,20916,906,204.4,3352000,2400,8
AMQP,NONE,200,300,256,44408,43058,1336,8590599,229.083,115.316,78.273,736.111,60000,21040,446,258.913,0,0,9
MQTT,TLS,100,300,256,44365,43271,1081,9087728,242.339,120.852,81.907,448.08,30000,20460,630,278.499,838000,600,10
MQTT,NONE,200,300,256,44683,43292,1371,8481623,226.177,114.564,76.966,749.657,60000,21112,556,272.628,0,0,11
AMQP,MTLS,400,300,256,45827,42804,2997,9303268,248.087,120.426,80.729,1129.37,120000,20017,718,282.94,3857600,3200,12
AMQP,TLS,100,300,256,44557,43530,1002,9325068,248.668,122.987,83.352,444.909,30000,20655,758,296.028,838000,600,13
COAP,MTLS,200,300,256,62000,21276,39560,7046144,187.897,213.194,111.888,498.778,60000,20985,838,204.035,1928800,1600,14
AMQP,MTLS,100,300,256,44263,43084,1152,9380408,250.144,119.65,80.204,440.513,30000,20109,861,299.348,964400,800,15
MQTT,MTLS,100,300,256,43468,42383,1071,9043228,241.153,114.304,76.74,440.397,30000,19710,539,263.287,964400,800,16
COAP,TLS,200,300,256,61600,21225,39208,7019212,187.179,211.793,112.48,500.55,60000,20953,863,203.544,1676000,1200,17
AMQP,MTLS,200,300,256,44630,42763,1840,9386804,250.315,117.262,79.492,720.176,60000,19768,1130,322.434,1928800,1600,18
COAP,MTLS,100,300,256,31000,21229,9503,7029308,187.448,215.047,112.859,274.806,30000,20936,874,204.3,964400,800,19
MQTT,MTLS,200,300,256,44191,42736,1444,9006636,240.177,115.453,76.044,715.694,60000,20298,384,248.746,1928800,1600,20
MQTT,NONE,400,300,256,46016,43386,2623,8522371,227.263,112.762,76.861,1181.42,120000,21125,615,283.981,0,0,21
AMQP,TLS,400,300,256,46618,43700,2889,9351152,249.364,126.191,85.729,1163.613,120000,20691,703,291.714,3352000,2400,22
AMQP,NONE,400,300,256,45582,43032,2538,8597904,229.277,115.887,78.66,1140.466,120000,21011,479,265.952,0,0,23
AMQP,NONE,100,300,256,44000,43213,782,8639593,230.389,115.984,78.517,444.533,30000,21051,570,269.934,0,0,24
COAP,MTLS,400,300,256,124000,21258,99769,7037896,187.677,212.312,113.654,809.453,120000,20974,847,203.53,3857600,3200,25
MQTT,TLS,400,300,256,46484,43643,2827,9139628,243.723,122.39,84.067,1158.124,120000,20685,762,296.654,3352000,2400,26
MQTT,MTLS,400,300,256,45794,43031,2755,9123256,243.287,114.985,76.489,1123.867,120000,20292,693,275.958,3857600,3200,27
