Protocol,Security,Nodes,DurationSeconds,PayloadBytes,TXPackets,RXPackets,LostPackets,RXBytes,ThroughputKbps,AverageDelayMs,AverageJitterMs,SimulationCpuTimeS,MessagesSent,MessagesReceived,MessagesLost,AverageAppDelayMs,SecurityOverheadBytes,SecurityHandshakeMessages,TransmissionCost,ProtocolCost,SecurityCost,TotalCpuCost
COAP,MTLS,10,300,256,3100,3100,0,1032240,27.526,24.457,12.976,7.251,3000,3000,0,22.974,96440,80,10418.0,2718.0,7700.0,10418.0
COAP,TLS,20,300,256,6160,6151,9,2035220,54.273,46.353,25.66,24.755,6000,5999,0,43.741,167600,120,17676.0,5436.0,12240.0,17676.0
